amfi_code,mean,std,annual_volatility,annual_return,sharpe_ratio,cagr,VaR_95,risk_category,recommendation
148567,0.001073675403449,0.0089411948225959,0.1419370675462034,0.2705662016691684,1.483518050002159,0.3097410750185903,-0.0135597764175105,Medium Risk,Recommended
120843,0.001081754914045,0.0100078608151677,0.1588698652360925,0.2726022383393478,1.338216269167252,0.3090745475400549,-0.0145079413856304,Medium Risk,Recommended
148569,0.0011240540293206,0.0111335777084273,0.176740066913467,0.2832616153888044,1.2632201587776624,0.3194952310833252,-0.0171181926556211,Medium Risk,Recommended
119551,0.0009167982325947,0.0086562898563775,0.1374143414187964,0.2310331546138718,1.2446528713667204,0.25804686425584,-0.0128462286288425,Medium Risk,Recommended
120505,0.0011613203372383,0.0121521558770111,0.1929094940631819,0.2926527249840709,1.206020087885733,0.3282740607461121,-0.0188917861986927,Medium Risk,Recommended
149323,0.0010551910655344,0.011179029641055,0.1774615939755082,0.26590814851467,1.160296962863343,0.2958108691043399,-0.0178820762019034,Medium Risk,Recommended
100033,0.0010798038431409,0.0119290065522664,0.1893671083521416,0.2721105684715236,1.120102484097127,0.3012315310072722,-0.0190335358615588,Medium Risk,Recommended
118632,0.0008652259973214,0.0089126241985455,0.1414835229499666,0.2180369513249999,1.1169989835557543,0.2404949266239175,-0.0139540458700181,Medium Risk,Recommended
101206,0.0008517723174694,0.0091771114859572,0.1456821284745432,0.2146466240023027,1.061534627628165,0.2353836133468803,-0.0132816619862814,Medium Risk,Recommended
120504,0.0008430464116382,0.0090483312538779,0.1436378056673665,0.2124476957328343,1.0613340619103413,0.2329511862010305,-0.0137281932959397,Medium Risk,Recommended
119094,0.0010266978562569,0.0122253348492315,0.1940711742333473,0.2587278597767398,1.023994730602255,0.2821441719365203,-0.0184802762439383,Medium Risk,Recommended
