amfi_code,mean,std,annual_volatility,annual_return,sharpe_ratio,cagr,VaR_95,score
148567,0.001073675403449,0.0089411948225959,0.1419370675462034,0.2705662016691684,1.483518050002159,0.3097410750185903,-0.0135597764175105,0.8319693922231545
120507,0.0002676525413793,0.000311135708967,0.004939126259512,0.0674484404275901,1.508048192379274,0.0723753972838441,-0.0002215735138934,0.7756924006720115
120843,0.001081754914045,0.0100078608151677,0.1588698652360925,0.2726022383393478,1.338216269167252,0.3090745475400549,-0.0145079413856304,0.7589289105685164
148569,0.0011240540293206,0.0111335777084273,0.176740066913467,0.2832616153888044,1.2632201587776624,0.3194952310833252,-0.0171181926556211,0.7240350101827044
120505,0.0011613203372383,0.0121521558770111,0.1929094940631819,0.2926527249840709,1.206020087885733,0.3282740607461121,-0.0188917861986927,0.6977139049269616
119551,0.0009167982325947,0.0086562898563775,0.1374143414187964,0.2310331546138718,1.2446528713667204,0.25804686425584,-0.0128462286288425,0.6971712492343437
149323,0.0010551910655344,0.011179029641055,0.1774615939755082,0.26590814851467,1.160296962863343,0.2958108691043399,-0.0178820762019034,0.6653153269225929
100033,0.0010798038431409,0.0119290065522664,0.1893671083521416,0.2721105684715236,1.120102484097127,0.3012315310072722,-0.0190335358615588,0.6466139941784333
118632,0.0008652259973214,0.0089126241985455,0.1414835229499666,0.2180369513249999,1.1169989835557543,0.2404949266239175,-0.0139540458700181,0.6278571605910488
101206,0.0008517723174694,0.0091771114859572,0.1456821284745432,0.2146466240023027,1.061534627628165,0.2353836133468803,-0.0132816619862814,0.5987260654208904
120504,0.0008430464116382,0.0090483312538779,0.1436378056673665,0.2124476957328343,1.0613340619103413,0.2329511862010305,-0.0137281932959397,0.5978067481562919
119094,0.0010266978562569,0.0122253348492315,0.1940711742333473,0.2587278597767398,1.023994730602255,0.2821441719365203,-0.0184802762439383,0.5929445616332959
149324,0.0011941715475284,0.0156478583237458,0.2484020500524207,0.300931229977172,0.969924483015852,0.3228744045157361,-0.0234830693867771,0.5771279489852914
119598,0.001201015736998,0.0158370759181876,0.2514057862438468,0.3026559657235125,0.9651964234751244,0.3242353615245461,-0.0245070519056771,0.5749674098137906
119552,0.0007852425930349,0.0087809762230377,0.1393936761271749,0.197881133444817,0.9891491298286876,0.215242358737697,-0.013500970479935,0.5564470784396659
148568,0.000825072273546,0.0097194474308666,0.154291444698233,0.2079182129335927,0.9586935505263742,0.2251686900711385,-0.0147115313335127,0.5439550760178261
102885,0.0006741587522893,0.0080863158126877,0.1283662839786055,0.1698880055769282,0.8560503753091658,0.1823237888770594,-0.0126126288206935,0.48019979855356204
120503,0.0006975954084313,0.0087463735127931,0.1388443751311979,0.1757940429247065,0.8339844002703708,0.187853255982622,-0.0135500171625034,0.47063817349747133
120844,0.0002561287499929,0.0003233593463542,0.0051331704873711,0.0645444449982322,0.8853095780498028,0.0691527298506713,-0.0002847927282355,0.4633436494344557
125497,0.0007095223731125,0.0092405174861887,0.1466886675239951,0.1787996380243675,0.8098760458433806,0.1901779534471146,-0.0145917690711404,0.45907305514159663
118635,0.0006004739698755,0.0081786213365433,0.129831588743163,0.1513194404086355,0.7033684274578708,0.1595723117967173,-0.0125536972847546,0.39704516781099963
120506,0.0006501094769466,0.0095943234951692,0.1523051637967307,0.16382758819055,0.6817076033555909,0.1708486725575018,-0.0143884628990809,0.3892307108652298
118633,0.0006163137445172,0.0088174158008536,0.1399721364918615,0.1553110636183571,0.6809288334603573,0.1627421735450427,-0.0134425251430242,0.3865985637650866
102887,0.0006453406943106,0.0099268380793583,0.15758366917913,0.1626258549662886,0.6512467662472737,0.1684112024730752,-0.0152316172791578,0.37310042040972785
120841,0.0005220152587214,0.0084813941409122,0.1346379580078445,0.1315478451977995,0.5314091676407544,0.1353221114899239,-0.013141782186804,0.30367286082999356
149322,0.0005222511308194,0.0090420817699194,0.1435385981851051,0.1316072849664992,0.4988712852981579,0.1339327592400185,-0.0144738519837927,0.2867207000243259
118634,0.0007071093821003,0.0159006636040582,0.2524152094634045,0.1781915642892773,0.4682426409269639,0.1637347403341575,-0.0254381114589631,0.2781541202719366
125498,0.0004768634628711,0.0115609442773309,0.1835243008733577,0.1201695926435306,0.3278562694814519,0.1130181712327997,-0.018365320169601,0.19416052207664566
101207,0.0004244528681492,0.0162507854947116,0.2579732221707771,0.1069621227736075,0.182042625891298,0.0793876483724771,-0.026021248221061,0.10963335781317993
101208,0.000241546285659,0.0003190254082165,0.0050643713523107,0.060869663986083,0.1717220017221413,0.0650902685546532,-0.00026865751304,0.10533434992485861
119093,0.000329858644371,0.0088086482499699,0.1398329559363886,0.0831243783814954,0.1653714478582211,0.0789755785437595,-0.014225516634796,0.1035332941652792
