amfi_code,mean,std,annual_volatility,annual_return,sharpe_ratio,cagr
100016,0.00014159930699210853,0.009164463506291045,0.14548134802183876,0.03568302536201135,-0.16714840059316974,0.026370743672111008
100025,0.00017005379350090052,0.0024600734466666972,0.039052455281001604,0.04285355596222693,-0.43906186984649176,0.04458209619173137
100033,0.0010798038431409668,0.011929006552266409,0.18936710835214166,0.27211056847152365,1.120102484097127,0.3012315310072722
101206,0.0008517723174694551,0.009177111485957208,0.1456821284745432,0.2146466240023027,1.061534627628165,0.2353836133468803
101207,0.0004244528681492361,0.01625078549471168,0.25797322217077717,0.1069621227736075,0.18204262589129805,0.07938764837247714
101208,0.00024154628565905978,0.00031902540821652635,0.0050643713523107455,0.06086966398608307,0.17172200172214133,0.06509026855465327
102885,0.0006741587522893979,0.008086315812687744,0.12836628397860558,0.16988800557692826,0.8560503753091658,0.18232378887705947
102886,0.0001098147223397074,0.011423709289098147,0.181345762973113,0.027673310029606265,-0.1782599683632344,0.011717454918341197
102887,0.000645340694310669,0.009926838079358378,0.15758366917913,0.1626258549662886,0.6512467662472737,0.16841120247307528
118632,0.0008652259973214283,0.008912624198545506,0.1414835229499666,0.21803695132499992,1.1169989835557543,0.24049492662391758
118633,0.0006163137445172902,0.008817415800853675,0.1399721364918615,0.15531106361835714,0.6809288334603573,0.16274217354504272
118634,0.0007071093821003067,0.01590066360405823,0.2524152094634045,0.1781915642892773,0.4682426409269639,0.16373474033415758
118635,0.000600473969875538,0.00817862133654339,0.12983158874316303,0.15131944040863557,0.7033684274578708,0.15957231179671738
118636,0.00020153331311365723,0.002510653047599153,0.039855381553882616,0.050786394904641624,-0.23117593499643227,0.05316889625171273
119092,0.0002749789297660477,0.008788090603213455,0.13950661341123846,0.06929469030104402,0.06662544573170213,0.06367989237605243
119093,0.00032985864437101356,0.008808648249969934,0.1398329559363886,0.08312437838149542,0.16537144785822114,0.07897557854375958
119094,0.0010266978562569042,0.012225334849231509,0.19407117423334738,0.25872785977673984,1.023994730602255,0.2821441719365203
119095,0.00018236517391230026,0.01579046131293056,0.25066580232600433,0.04595602382589967,-0.056026693883976186,0.015215045330823962
119120,0.00022226830595075775,0.0024990143961777064,0.03967062369033872,0.056011613099590955,-0.10053753960466127,0.05889418716346717
119551,0.0009167982325947294,0.008656289856377569,0.1374143414187964,0.2310331546138718,1.2446528713667204,0.25804686425584
119552,0.0007852425930349881,0.008780976223037761,0.13939367612717493,0.197881133444817,0.9891491298286877,0.21524235873769704
119598,0.0012010157369980656,0.015837075918187664,0.2514057862438468,0.30265596572351255,0.9651964234751244,0.32423536152454613
119599,0.00020131692580289563,0.015717101489290827,0.24950125122855862,0.0507318653023297,-0.037146646167237514,0.02054484701809378
120503,0.000697595408431375,0.008746373512793114,0.13884437513119793,0.1757940429247065,0.8339844002703708,0.18785325598262204
120504,0.0008430464116382315,0.009048331253877995,0.1436378056673665,0.21244769573283434,1.0613340619103413,0.2329511862010305
120505,0.0011613203372383767,0.012152155877011198,0.1929094940631819,0.2926527249840709,1.206020087885733,0.3282740607461121
120506,0.0006501094769466271,0.00959432349516923,0.15230516379673079,0.16382758819055004,0.6817076033555909,0.1708486725575018
120507,0.0002676525413793258,0.00031113570896708256,0.004939126259512018,0.0674484404275901,1.508048192379274,0.07237539728384412
120841,0.0005220152587214266,0.008481394140912235,0.1346379580078445,0.1315478451977995,0.5314091676407544,0.1353221114899239
120842,0.0003119045881482731,0.011272610878515412,0.1789471500657187,0.07859995621336482,0.10394105861162893,0.06701543482038463
120843,0.001081754914045031,0.010007860815167777,0.15886986523609253,0.2726022383393478,1.338216269167252,0.3090745475400549
120844,0.0002561287499929851,0.0003233593463542916,0.005133170487371137,0.06454444499823224,0.8853095780498028,0.06915272985067134
125497,0.0007095223731125696,0.009240517486188763,0.14668866752399518,0.17879963802436752,0.8098760458433806,0.19017795344711463
125498,0.00047686346287115325,0.011560944277330919,0.18352430087335772,0.12016959264353062,0.3278562694814519,0.11301817123279978
148567,0.001073675403449081,0.008941194822595979,0.14193706754620344,0.27056620166916845,1.483518050002159,0.3097410750185903
148568,0.0008250722735460028,0.009719447430866661,0.15429144469823303,0.20791821293359272,0.9586935505263742,0.2251686900711385
148569,0.0011240540293206527,0.011133577708427352,0.176740066913467,0.28326161538880446,1.2632201587776624,0.3194952310833252
149322,0.0005222511308194414,0.009042081769919413,0.14353859818510514,0.13160728496649923,0.4988712852981579,0.13393275924001857
149323,0.0010551910655344048,0.011179029641055074,0.17746159397550829,0.26590814851467,1.160296962863343,0.29581086910433996
149324,0.0011941715475284602,0.015647858323745815,0.24840205005242075,0.300931229977172,0.969924483015852,0.3228744045157361
